"","run","samples","edays","egord","xseed","yseed","degord","nobjects","dev","type","k"
"250",10,44,27.6525,3.31481137276826,10.0383431550687,29.3119383062486,2.16666666666667,1,-1.14814470610159,"IXT",5
"251",11,47,27.6525,3.54082123909336,33.9498996572459,11.4517074611947,2.16666666666667,1,-1.3741545724267,"IXT",5
"252",12,43,27.6525,3.23947475065989,51.6294557316437,14.7848085590866,2.16666666666667,1,-1.07280808399322,"IXT",5
"253",13,35,27.6525,2.63678177379293,14.6773304933074,18.3535733980718,2.16666666666667,1,-0.470115107126264,"IXT",5
"254",14,46,27.6525,3.46548461698499,17.3010428263513,46.9108303943673,2.16666666666667,1,-1.29881795031833,"IXT",5
"255",15,62,27.6525,4.67087057071891,32.3991191239162,47.0417613134499,2.16666666666667,1,-2.50420390405224,"IXT",5
"256",1,45,27.6525,3.39014799487662,37.3796306062667,17.4910451385138,2.16666666666667,1,-1.22348132820996,"IXT",10
"257",2,73,27.6525,5.49957341391097,14.7644911258539,25.2610484559156,2.16666666666667,1,-3.3329067472443,"IXT",10
"258",3,38,27.6525,2.86279164011804,34.4367049803516,23.5508925606432,2.16666666666667,1,-0.696124973451372,"IXT",10
"259",4,23,27.6525,1.7327423084925,36.3385342116161,35.9012609584753,2.16666666666667,1,0.433924358174169,"IXT",10
"260",5,16,27.6525,1.20538595373391,11.4684459425614,49.1881244828443,2.16666666666667,1,0.961280712932756,"IXT",10
"261",6,29,27.6525,2.18476204114271,16.9441406003396,44.1474202339857,2.16666666666667,1,-0.0180953744760473,"IXT",10
"262",7,41,27.6525,3.08880150644315,25.4683176005159,38.2217022915262,2.16666666666667,1,-0.922134839776481,"IXT",10
"263",8,39,27.6525,2.93812826222641,44.9009102915601,15.7253657009125,2.16666666666667,1,-0.771461595559741,"IXT",10
"264",9,18,27.6525,1.35605919795065,42.926570011816,42.8488067403595,2.16666666666667,1,0.810607468716017,"IXT",10
"265",10,72,27.6525,5.4242367918026,13.2926522069202,20.3410107646526,2.16666666666667,1,-3.25757012513593,"IXT",10
"266",11,8,27.6525,0.602692976866955,54.5255344342592,34.0502810357636,2.16666666666667,1,1.56397368979971,"IXT",10
"267",12,38,27.6525,2.86279164011804,21.5857237414785,39.6718767821844,2.16666666666667,1,-0.696124973451372,"IXT",10
"268",13,44,27.6525,3.31481137276826,39.3323508673751,14.9219566781261,2.16666666666667,1,-1.14814470610159,"IXT",10
"269",14,34,27.6525,2.56144515168456,20.6714062750534,37.9985340796724,2.16666666666667,1,-0.394778485017894,"IXT",10
"270",15,19,27.6525,1.43139582005902,12.2772327562525,49.2588501670558,2.16666666666667,1,0.735270846607647,"IXT",10
"271",1,32,27.6525,2.41077190746782,35.8815193900141,30.3547757490367,2.16666666666667,1,-0.244105240801155,"IXT",20
"272",2,28,27.6525,2.10942541903434,19.0346824188844,42.3159347224771,2.16666666666667,1,0.0572412476323225,"IXT",20
"273",3,29,27.6525,2.18476204114271,52.4862761439993,47.310662193608,2.16666666666667,1,-0.0180953744760473,"IXT",20
"274",4,30,27.6525,2.26009866325108,52.3766565366119,41.3032535933522,2.16666666666667,1,-0.0934319965844166,"IXT",20
